volume_id,seg_liver,seg_spleen
KORA2456230,1315217.0,146233.0
KORA2456241,194500.0,30071.0
KORA2456278,1101084.0,120339.0
KORA2456289,1553774.0,203527.0
KORA2456340,1302089.0,180607.0
KORA2456357,1613727.0,230342.0
KORA2456368,1159772.0,125949.0
KORA2456379,1797435.0,155077.0
KORA2456385,1285795.0,140122.0
KORA2456422,1818493.0,305174.0
KORA2456535,1772939.0,197767.0
KORA2456551,1143163.0,184965.0
KORA2456562,2597935.0,258452.0
KORA2456619,2208216.0,223630.0
KORA2456636,1569663.0,251063.0
KORA2456661,1337260.0,163672.0
KORA2456672,2287616.0,336298.0
KORA2456683,1194814.0,122519.0
KORA2456793,1344203.0,105849.0
KORA2456816,1623061.0,220762.0
KORA2456849,1680080.0,304774.0
KORA2456892,1847047.0,262158.0
KORA2456917,1306040.0,172394.0
KORA2456928,2019441.0,238524.0
KORA2456980,1218057.0,131456.0
KORA2457044,2455201.0,274677.0
KORA2457143,1589839.0,230747.0
KORA2457266,1756380.0,231284.0
KORA2457401,2169182.0,297062.0
KORA2457517,1467759.0,133817.0
KORA2457826,1095759.0,97491.0
KORA2457938,1192280.0,160205.0
KORA2458040,1794062.0,166080.0
KORA2458057,1284401.0,139263.0
KORA2458068,2496029.0,180672.0
KORA2458096,1550301.0,235004.0
KORA2458158,1370426.0,159121.0
KORA2458169,1271386.0,205837.0
KORA2458186,1834539.0,123189.0
KORA2458197,2322354.0,280565.0
KORA2458265,3398431.0,570259.0
KORA2458314,1531043.0,233547.0
KORA2458342,2144031.0,294694.0
KORA2458366,1530684.0,94085.0
KORA2458402,1510089.0,189632.0
KORA2458424,2024994.0,300026.0
KORA2458478,2037455.0,284354.0
KORA2458674,1673728.0,183539.0
KORA2458691,1382400.0,97259.0
KORA2458707,1731546.0,154308.0
KORA2458729,1692180.0,247971.0
KORA2458773,1821106.0,280180.0
KORA2458784,1372819.0,165711.0
KORA2458808,1492198.0,195100.0
KORA2458819,1408728.0,286370.0
KORA2458926,1657747.0,269313.0
KORA2458960,1849701.0,284083.0
KORA2459067,289341.0,42748.0
KORA2459095,2544537.0,367827.0
KORA2459112,1674539.0,174646.0
KORA2459123,1700806.0,95079.0
KORA2459134,940397.0,97116.0
KORA2459222,1478336.0,138054.0
KORA2459233,1495897.0,334757.0
KORA2459244,2481665.0,160848.0
KORA2459258,1565218.0,272317.0
KORA2459275,1452032.0,244372.0
KORA2459286,1524692.0,189296.0
KORA2459310,1584030.0,201605.0
KORA2459321,2057804.0,203809.0
KORA2459343,1978561.0,238773.0
KORA2459365,1712361.0,312348.0
KORA2459376,1614895.0,111122.0
KORA2459420,1746887.0,216156.0
KORA2459431,1832075.0,229065.0
