,0,1,2,3,4,5,6,7,8,9
KORA2459752,"(1566314, 13110, 116320)","(1565381, 13026, 117337)","(1567126, 13011, 115607)","(1565526, 12947, 117271)","(1565986, 12971, 116787)","(1565349, 13074, 117321)","(1565828, 13148, 116768)","(1566279, 13165, 116300)","(1565450, 13204, 117090)","(1566500, 13158, 116086)"
KORA2452263,"(1346998, 4411, 86287)","(1347612, 4309, 85775)","(1346977, 4411, 86308)","(1346597, 4388, 86711)","(1347490, 4404, 85802)","(1346624, 4315, 86757)","(1347421, 4264, 86011)","(1347186, 4359, 86151)","(1347310, 4326, 86060)","(1347283, 4540, 85873)"
KORA2460867,"(1375778, 17454, 118192)","(1375881, 17387, 118156)","(1375303, 17349, 118772)","(1376473, 17020, 117931)","(1376966, 16901, 117557)","(1376841, 17061, 117522)","(1375671, 17100, 118653)","(1376856, 17385, 117183)","(1376687, 17414, 117323)","(1376156, 17238, 118030)"
KORA2460878,"(1406654, 8121, 96649)","(1406371, 8146, 96907)","(1406471, 8191, 96762)","(1406595, 8178, 96651)","(1406645, 7975, 96804)","(1406970, 8021, 96433)","(1406691, 8209, 96524)","(1406131, 8297, 96996)","(1406617, 8007, 96800)","(1406941, 7761, 96722)"
KORA2453082,"(1829202, 12801, 111789)","(1829831, 12732, 111229)","(1830285, 12553, 110954)","(1829501, 12853, 111438)","(1830868, 12884, 110040)","(1830586, 12705, 110501)","(1830450, 12906, 110436)","(1829276, 13011, 111505)","(1830639, 12570, 110583)","(1830176, 12944, 110672)"
KORA2462345,"(1494996, 13991, 113029)","(1495220, 13844, 112952)","(1495299, 14178, 112539)","(1495627, 14057, 112332)","(1494338, 14036, 113642)","(1495333, 13876, 112807)","(1495496, 14015, 112505)","(1494719, 14072, 113225)","(1495545, 14005, 112466)","(1494317, 13900, 113799)"
KORA2459310,"(1737247, 11741, 131076)","(1736998, 11799, 131267)","(1737671, 11810, 130583)","(1737436, 11735, 130893)","(1737252, 11875, 130937)","(1736983, 11794, 131287)","(1737252, 11812, 131000)","(1736860, 11915, 131289)","(1737254, 11778, 131032)","(1737392, 11822, 130850)"
KORA2460779,"(1476800, 19501, 125715)","(1476156, 18396, 127464)","(1476445, 19695, 125876)","(1477022, 19041, 125953)","(1477167, 19192, 125657)","(1475432, 19363, 127221)","(1477151, 19292, 125573)","(1475252, 19296, 127468)","(1475924, 19625, 126467)","(1475031, 19326, 127659)"
KORA2452659,"(1919265, 33509, 185338)","(1917271, 33666, 187175)","(1917645, 33709, 186758)","(1919402, 33621, 185089)","(1919393, 33605, 185114)","(1919201, 33696, 185215)","(1919319, 33788, 185005)","(1919942, 33587, 184583)","(1918917, 33751, 185444)","(1919480, 33688, 184944)"
KORA2452338,"(2176602, 19270, 163424)","(2175115, 19195, 164986)","(2177462, 18460, 163374)","(2177142, 18836, 163318)","(2175835, 19236, 164225)","(2175383, 19387, 164526)","(2178014, 17864, 163418)","(2176689, 18163, 164444)","(2176950, 19220, 163126)","(2176594, 18568, 164134)"
KORA2462093,"(1651969, 20396, 170835)","(1651720, 20381, 171099)","(1652291, 20174, 170735)","(1651383, 20504, 171313)","(1651868, 20444, 170888)","(1651574, 20540, 171086)","(1651980, 20222, 170998)","(1651683, 20318, 171199)","(1652279, 20557, 170364)","(1651935, 20336, 170929)"
KORA2456340,"(1954105, 8616, 212255)","(1957278, 4942, 212756)","(1954536, 7481, 212959)","(1955916, 6136, 212924)","(1952601, 9283, 213092)","(1954117, 8106, 212753)","(1951654, 9821, 213501)","(1955658, 6521, 212797)","(1953940, 7662, 213374)","(1953993, 9911, 211072)"
KORA2453833,"(2065508, 13734, 206326)","(2065978, 13598, 205992)","(2065425, 12861, 207282)","(2065483, 13473, 206612)","(2066385, 13302, 205881)","(2065410, 13202, 206956)","(2064834, 13794, 206940)","(2065840, 12837, 206891)","(2066508, 12681, 206379)","(2064737, 13863, 206968)"
KORA2461146,"(1771479, 14258, 131191)","(1771167, 14190, 131571)","(1770730, 14399, 131799)","(1771147, 14303, 131478)","(1771726, 14354, 130848)","(1771738, 14103, 131087)","(1771024, 14479, 131425)","(1771149, 14423, 131356)","(1771278, 14366, 131284)","(1770020, 14459, 132449)"
KORA2461184,"(1500028, 27485, 131367)","(1499982, 27598, 131300)","(1500107, 27478, 131295)","(1499667, 27749, 131464)","(1500149, 27517, 131214)","(1499908, 27490, 131482)","(1499952, 27387, 131541)","(1499873, 27450, 131557)","(1499113, 27779, 131988)","(1499703, 27669, 131508)"
KORA2459477,"(1638464, 25951, 141921)","(1639669, 25473, 141194)","(1640286, 24570, 141480)","(1639060, 25681, 141595)","(1639844, 25608, 140884)","(1639086, 25662, 141588)","(1638935, 25672, 141729)","(1639405, 25563, 141368)","(1640404, 24536, 141396)","(1638784, 25768, 141784)"
KORA2453642,"(2092998, 16090, 102752)","(2092784, 15681, 103375)","(2090893, 17078, 103869)","(2093273, 15090, 103477)","(2090737, 16691, 104412)","(2093062, 16256, 102522)","(2091125, 17021, 103694)","(2093057, 15695, 103088)","(2093066, 15086, 103688)","(2091181, 16804, 103855)"
KORA2453470,"(1887640, 14222, 162522)","(1887659, 14527, 162198)","(1888019, 14705, 161660)","(1888068, 14554, 161762)","(1887039, 14021, 163324)","(1887051, 14747, 162586)","(1886707, 14904, 162773)","(1888681, 13680, 162023)","(1887917, 13759, 162708)","(1886225, 14396, 163763)"
KORA2455946,"(2034767, 13864, 163209)","(2034165, 13820, 163855)","(2034779, 13947, 163114)","(2035220, 13734, 162886)","(2035259, 13887, 162694)","(2035024, 13701, 163115)","(2034586, 13782, 163472)","(2034729, 13784, 163327)","(2034610, 13907, 163323)","(2034784, 13788, 163268)"
KORA2453844,"(1505879, 26162, 126839)","(1506473, 26200, 126207)","(1505848, 26208, 126824)","(1506093, 26261, 126526)","(1505507, 26174, 127199)","(1505904, 26131, 126845)","(1505663, 26099, 127118)","(1505350, 26203, 127327)","(1506065, 26280, 126535)","(1506002, 26024, 126854)"
KORA2453048,"(1749325, 18844, 148759)","(1749318, 18962, 148648)","(1748602, 18613, 149713)","(1750465, 17967, 148496)","(1749105, 18700, 149123)","(1749432, 18433, 149063)","(1749196, 18355, 149377)","(1749706, 17931, 149291)","(1749506, 18524, 148898)","(1749936, 18387, 148605)"
KORA2452801,"(1417003, 15843, 152306)","(1417778, 17192, 150182)","(1417837, 17041, 150274)","(1418854, 16802, 149496)","(1419537, 17071, 148544)","(1418953, 17160, 149039)","(1420498, 14204, 150450)","(1419651, 16439, 149062)","(1418135, 16643, 150374)","(1418489, 17522, 149141)"
KORA2461392,"(1742916, 9501, 127647)","(1743335, 9389, 127340)","(1743549, 9519, 126996)","(1743373, 9478, 127213)","(1743069, 9479, 127516)","(1742967, 9428, 127669)","(1742900, 9427, 127737)","(1742806, 9606, 127652)","(1743676, 8968, 127420)","(1743825, 9138, 127101)"
