"","V1","V2","V3","V4","V5"
"967",0,0,0,0,0
"968",0,0,0,0,0
"969",0,0,0,0,0
"970",0,0,0,0,0
"971",0,0,0,0,0
"972",1,1,1,1,1
"973",0,0,0,0,0
"974",0,0,0,0,0
"975",0,0,0,0,0
"976",0,0,0,0,0
"977",0,0,0,0,0
"978",1,1,1,1,1
"979",0,0,0,0,0
"980",0,0,0,0,0
"981",0,0,0,0,0
"982",1,1,1,1,1
"983",1,1,1,1,1
"984",0,0,0,0,0
"985",0,0,0,0,0
"986",0,0,0,0,0
"987",0,0,0,0,0
"988",0,0,0,0,0
"989",1,1,1,1,1
"990",0,0,0,0,0
"991",0,0,0,0,0
"992",0,0,0,0,0
"993",0,0,0,0,0
"994",0,0,0,0,0
"995",1,1,1,1,1
"996",0,0,0,0,0
"997",1,1,1,1,1
"998",0,0,0,0,0
"999",0,0,0,0,0
"1000",1,1,1,1,1
"1001",0,0,0,0,0
"1002",0,0,0,0,0
"1003",0,0,0,0,0
"1004",0,0,0,0,0
"1005",0,0,0,0,0
"1006",0,0,0,0,0
"1007",0,0,0,0,0
"1008",1,1,1,1,1
"1009",0,0,0,0,0
"1010",0,0,0,0,0
"1011",0,0,0,0,0
"1012",1,1,1,1,1
"1013",1,1,1,1,1
"1014",0,0,0,0,0
"1015",1,1,1,1,1
"1016",1,1,1,1,1
"1017",1,1,1,1,1
"1018",0,0,0,0,0
"1019",0,0,0,0,0
"1020",1,1,1,1,1
"1021",0,0,0,0,0
"1022",1,1,1,1,1
"1023",1,1,1,1,1
"1024",0,0,0,0,0
"1025",0,0,0,0,0
"1026",0,0,0,0,0
"1027",0,0,0,0,0
"1028",0,0,0,0,0
"1029",0,0,0,0,0
"1030",1,1,1,1,1
"1031",0,0,0,0,0
"1032",1,1,1,1,1
"1033",0,0,0,0,0
"1034",0,0,0,0,0
"1035",1,1,1,1,1
"1036",1,1,1,1,1
"1037",0,0,0,0,0
"1038",0,0,0,0,0
"1039",0,0,0,0,0
"1040",0,0,0,0,0
"1041",0,0,0,0,0
"1042",0,0,0,0,0
"1043",1,1,1,1,1
"1044",0,0,0,0,0
"1045",0,0,0,0,0
"1046",0,0,0,0,0
"1047",0,0,0,0,0
"1048",0,0,0,0,0
"1049",0,0,0,0,0
"1050",0,0,0,0,0
"1051",0,0,0,0,0
"1052",0,0,0,0,0
"1053",1,1,1,1,1
"1054",0,0,0,0,0
"1055",1,1,1,1,1
"1056",0,0,0,0,0
"1057",0,0,0,0,0
"1058",1,1,1,1,1
"1059",1,1,1,1,1
"1060",0,0,0,0,0
"1061",0,0,0,0,0
"1062",0,0,0,0,0
"1063",1,1,1,1,1
"1064",0,0,0,0,0
"1065",0,0,0,0,0
"1066",0,0,0,0,0
"1067",0,0,0,0,0
