,dataset,model_name,volume_id,samples,sncc,ged,iou_spleen,iou_liver,iou_mean,dice_spleen,dice_liver,dice_mean,surface_distance_prtogt_spleen,surface_distance_prtogt_liver,surface_distance_prtogt_mean,surface_distance_gttopr_spleen,surface_distance_gttopr_liver,surface_distance_gttopr_mean,surface_distance_avg_spleen,surface_distance_avg_liver,surface_distance_avg_mean,target_scan_file
37,2,MC_dropout_quicknat_UKB_v2,1009657_20201_2_0,10,,,0.6217156105100463,0.7302474062250599,0.6759815083675531,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
38,2,MC_dropout_quicknat_UKB_v2,1009657_20201_2_0,10,,,0.7962243941625385,0.8223927793933038,0.8093085867779212,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
39,2,MC_dropout_quicknat_UKB_v2,1010111_20201_2_0,10,,,0.7912658551119435,0.7494584914967081,0.7703621733043258,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
40,2,MC_dropout_quicknat_UKB_v2,1010111_20201_2_0,10,,,0.761057099821991,0.8679668842540996,0.8145119920380453,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
41,2,MC_dropout_quicknat_UKB_v2,1010355_20201_2_0,10,,,0.7607030759573132,0.8230075678024406,0.791855321879877,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
42,2,MC_dropout_quicknat_UKB_v2,1010361_20201_2_0,10,,,0.7769970414201184,0.8081269822361857,0.7925620118281519,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
43,2,MC_dropout_quicknat_UKB_v2,1010424_20201_2_0,10,,,0.7411003236245954,0.8404022827786927,0.790751303201644,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
44,2,MC_dropout_quicknat_UKB_v2,1010532_20201_2_0,10,,,0.7766202434477465,0.8343298673091086,0.8054750553784276,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
45,2,MC_dropout_quicknat_UKB_v2,1010630_20201_2_0,10,,,0.8274006622516556,0.8587174244704369,0.8430590433610463,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
46,2,MC_dropout_quicknat_UKB_v2,1011155_20201_2_0,10,,,0.8177853162103222,0.8122528553824649,0.8150190857963936,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
